蓝光测试,#genre#
深圳卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225691/index.m3u8?
辽宁卫视蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225639/index.m3u8?
辽宁卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225779/index.m3u8?
辽宁卫视蓝光3,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8
龙江卫视蓝光1,http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8
龙江卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226555/index.m3u8
龙江卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225686/index.m3u8?
吉林卫视蓝光1,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=25&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
吉林卫视蓝光2,http://116.199.5.52:8114/00000000/index.m3u8?&amp;Fsv_ctype=LIVES&amp;Fsv_otype=1&amp;FvSeid=5abd1660af1babb4&amp;Fsv_filetype=1&amp;Fsv_ctype=LIVES&amp;Fsv_cid=0&amp;Fsv_chan_hls_se_idx=25&amp;Fsv_rate_id=0&amp;Fsv_SV_PARAM1=0&amp;Fsv_ShiftEnable=0&amp;Fsv_ShiftTsp=0&amp;Provider_id=&amp;Pcontent_id=&amp;Fsv_CMSID=&amp;Fsv_otype=1
吉林卫视蓝光3,http://39.134.168.91/PLTV/1/224/3221225586/index.m3u8
江西卫视蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225669/index.m3u8?
江西卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226557/index.m3u8
江西卫视蓝光3,http://112.17.40.8:80/PLTV/88888888/224/3221226557/index.m3u8
河南卫视蓝光1,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=19&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
河南卫视超清2,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221225815/index.m3u8
海南卫视蓝光1,http://39.134.39.37/PLTV/88888888/224/3221226301/index.m3u8
海南卫视蓝光2,http://39.134.39.39/PLTV/88888888/224/3221226301/index.m3u8
云南卫视蓝光1,http://39.130.215.166:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
云南卫视超清1,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8
贵州卫视蓝光1,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=41&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
重庆卫视蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225745/index.m3u8?
重庆卫视蓝光2,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
陕西卫视高清1,http://223.110.247.161:6610/gitv/live1/G_SHANXI/G_SHANXI
陕西卫视高清2,http://112.17.40.140/PLTV/88888888/224/3221226177/index.m3u8
甘肃卫视蓝光1,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
甘肃卫视超清2,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=142&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
宁夏卫视超清1,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8
宁夏卫视超清2,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
青海卫视超清2,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=206&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
青海卫视超清2,http://39.134.168.91/PLTV/1/224/3221225622/index.m3u8
新疆卫视高清1,http://223.110.247.161:6610/gitv/live1/G_XINJIANG/G_XINJIANG
新疆卫视高清2,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
西藏卫视高清1,http://223.110.247.161:6610/gitv/live1/G_XIZANG/G_XIZANG
西藏卫视高清2,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
内蒙卫视蓝光1,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
