公告,#genre# 
東森幼幼,tvbus://7mTCKDyRQkAMpAsx4eMdtWdUjzrk85yb3mbfmN8qeLUi1qpWxg
東森綜合,tvbus://7kWva8CokkRzG56xqeGkB71CXsWF4xqcNd2YR9Z87yJ1uKrWAC
東森戲劇,tvbus://7e38HHoHrcYycZJPg2GDt7SiaV7gmTwhbUWVVbYym3tW2Q5USd
東森超視,tvbus://7vNbe3kiAufytCEBGNuE6kWidvnmCcmDij3DYuXwVHbAo4gDG3
東森新聞,tvbus://78Xc88RpwMy8oVCbeHLe8FMoVYJMNytJs9i1hGsP25Mz3KqZKh
東森財經新聞,tvbus://7YpF7VbL4JJRLGYJHvurtd2KsVQ1xdkZSsGJAhfvtDkjdhKgma
緯來電影,tvbus://8ENdGkwVWTG2Nrp4PFmGyJsnUKpbMKE3va3fa7XrTHyHJYiQfN
緯來育樂,tvbus://8KHkv2gk7CNKzX5jx4b8WQA4HwnotAUnyTv7te1ypxQU5Mnwvh
緯來體育,tvbus://8jNwKwE7S8rY1xiorwBj29qqaQnR4BW3gg1LXym3pbYRBY3uyH
緯來日本,tvbus://6uRaEVB6zUUTj8hPENXF15Xb888X3y3Yrhj7HjZubfA18jRhCu
緯來綜合,tvbus://76Hqtvx4Bz8M7n96qZ8HjE329MY4ov6RXYB5DcGf73ArqNDSVs
緯來精采台,tvbus://7FCw8bqAmBNGLei5MTUjX8a9F3A4DrdNf58N6D9PR9QBt3ynoD
緯來戲劇,tvbus://71qcakHyWtjEAgVWLzYkWBNqwWSbSmpoWgXLjSUAdPh3YGJJbp
中天亞洲,tvbus://7CVqdKzUR9iqkby7NK9YFXivwbbUE3CAQQuEc7tUax5LKtY2Z6
中天綜合,tvbus://7g68m9va3vuTMG6dJLHKNZs7koyDjn8ETFf6nV7y9GChnFzcuu
中天娛樂,tvbus://7aTwer51LN1v8cBq3hQ6N6J9DdN61mz9kaQRNv5JdE7zEMKa2f
中天新聞,tvbus://7UHpuAACKw56RQXMGVVXYPryYa7v8nJpEGnACG5WpCNupZXuLc
TVBS,tvbus://7DEtCmyxRnfvA1VSsvwavm42Jo9LAYjp8jNVgFDyuBjWE4mTAz
TVBS新聞,tvbus://7CyU6ZP3BBpcF91MruJCdXjLyFZeSniyanTBASwG47S3fLTQx9
TVBS歡樂,tvbus://7zPtZ59uCMN6yYUukgdVWxT6RQB3u6UomETnNg3rPcYTdfuc5k
TVBS精采台,tvbus://7iAPforjP4iJd3SRXV4mxgici7b9CFEN3W97KwJuapBdDe8oy7
八大第一,tvbus://8TDBW4MDGAQmpRQdKnwJTj9fWZrK5YvtErGcJ11GaEmFjDkJs4
八大綜合,tvbus://7UKdhqn1tALX7XoGDCvEvZ4zhdueUoFfkPrQYWu1giEJhSABUq
八大戲劇,tvbus://7PihWtmaFiygUBHZwAN2keLMLvrzMUw9saEs289CvHhoukNZE9
八大娛樂,tvbus://81wb2RBBgpq8VR5m2xdXkYKaBKqDXb4gTDnypMvhiLZ1uT4qT7
三立新聞,tvbus://7YZWC167sdVy4xDaeGwu56oLobQxvyG4KfCdU6zY8jr8c6Smsb
三立財經台,tvbus://7vrngitcWdRhRaWE5NSqqbC85RP52aPx4e2D9iLv1yE2Y8zSZo
三立台灣,tvbus://7B1vDyun1XjzL82YVyc6zDLRV37qLHArM4uEWj8zRK4nApu7V7
三立都會,tvbus://7e1FvQgF2JgVdRCdBPXzmLJUFK52FNtp78TyiVFyT7TpN2yvXp
三立戲劇台,tvbus://4qyWffYvy2wPyo26ctNryKLuDmFwhwsozFVQ61QQMSpHG6Siap
三立綜合台,tvbus://8WZPRXXwo5xHU23sVT4MLQGnbJFXPaiQyyCgWx2oDLGq8iVJf4
寰宇新聞二台,tvbus://7sPScVjY1MCGroEaA4TB7X6e5yATZL2fHYGQ8tCNcHGYDxRFUQ
寰宇新聞台,tvbus://7beSKBhbYwem2JMcyAPiw9Lq15919uQamc7r6Srh1Kq6TyFLWm
寰宇綜合台,tvbus://8Ss5yvwX4JvbUy8ju8o5NJBzw6mgxAPDU6aSk56owkBzCoPN1E
壹電視新聞台,tvbus://7TrzE6Xx7cZLYSHaRKVYNCZmHUmfrqJTu4ErxGdhZDy4o6JxQ7
壹電視資訊綜合台,tvbus://8KUKSUJwJhYmBh8PjfyA7yJt9vhm4WMVTipGY4gzgQXBGzYiqB
龍華戲劇,tvbus://8Vxza5Y4428pZ2CqaaJMSfm7c7f9fKxYuC7Jn8ayFZ3xCQ9zPr
龍華動畫,tvbus://87jKxeRPS4ruRF3ntyPrFSR64ZHutKgfZtvDP5fNRdBpJ22noJ
龍華電影,tvbus://8HrW7R2zbbCb4tY7pVXE6czSoXARUAfbzZB5fEE32tS8p22dD1
龍華洋片,tvbus://8ekyzuaut3fcis13U4Sekj4n2A1ZFFQYkt5WAnW39n1ZiGJe3Q
靖天電影台,tvbus://7pGG6mU49u84UWosEe2cPwi9suD6D92dPCFVuBZcvaxuurdNo2
